 partition_code |   mmsi    |     vessel_name      |           flag_country           
 I              | 657111011 | NNS LIGHTNING        | Nigeria
 I              | 657111033 | NNS ISEHIN           | Nigeria
 I              | 657111037 | NNS TITAN            | Nigeria
 I              | 657111046 |  NNS NEMESIS         | Nigeria
 I              | 657111046 | NNS NEMESIS          | Nigeria
 I              | 657111053 | NNS BINI             | Nigeria
 I              | 657111053 | NNS VISION           | Nigeria
 I              | 657111055 | NNS HARMONY          | Nigeria
 I              | 657111055 | NNS OTUOKE           | Nigeria
 I              | 657120900 | HUDSON MARY SILAS    | Nigeria
 I              | 657128500 | DEFENDER VII         | Nigeria
 I              | 657556000 | MV SEARCHER          | Nigeria
 I              | 657557000 | MV SEEKER            | Nigeria
 I              | 657705000 | NNS TIGER            | Nigeria
 I              | 657715000 | NNS  VALOUR          | Nigeria
 I              | 657720000 | NNS SPARROW          | Nigeria
 I              | 657756110 | NNS IKOLE            | Nigeria
 I              | 657887000 | HUDSON ELIK          | Nigeria
 I              | 657907000 | MV SWAT LINK VI      | Nigeria
 I              | 657940000 | UTAI 21              | Nigeria
 I              | 668114610 | AGIOS DIMITRIOS      | Sao Tome and Principe
 J              | 224942000 | SP P71               | Spain
 J              | 224942000 | SPS SERVIOLA         | Spain
 J              | 244060779 | HEBO CAT 3           | Netherlands
 J              | 376496000 | TMC HAWK             | Saint Vincent and the Grenadines
 J              | 377645000 | SVITZER KUMBIRA      | Saint Vincent and the Grenadines
 J              | 412000006 | 0                    | China
 J              | 412000006 | 000                  | China
 J              | 657102000 | HUDSON CAPT ELENDU   | Nigeria
 J              | 657105500 | CONQUEROR TRE        | Nigeria
 J              | 657111011 | NNS LIGHTNING        | Nigeria
 J              | 657111033 | NNS ISEHIN           | Nigeria
 J              | 657111037 | NNS TITAN            | Nigeria
 J              | 657111050 | NNS GENESIS          | Nigeria
 J              | 657111052 | NNS YENEGOA          | Nigeria
 J              | 657111053 | NNS BINI             | Nigeria
 J              | 657120900 | HUDSON MARY SILAS    | Nigeria
 J              | 657123500 | WHISKY PRIDE         | Nigeria
 J              | 657125000 | AUGUSTINA 2          | Nigeria
 J              | 657128500 | DEFENDER VII         | Nigeria
 J              | 657556000 | MV SEARCHER          | Nigeria
 J              | 657631000 | NNS SEA HORSE        | Nigeria
 J              | 657705000 | NNS TIGER            | Nigeria
 J              | 657706000 | NNS HARMONY          | Nigeria
 J              | 657715000 | NNS  VALOUR          | Nigeria
 J              | 657717000 | NNS  VALIANT         | Nigeria
 J              | 657756110 | NNS IKOLE            | Nigeria
 J              | 657887000 | HUDSON ELIK          | Nigeria
 J              | 668114610 | AGIOS DIMITRIOS      | Sao Tome and Principe
 K              | 235000415 | DRUMBEAT OF DEVON    | UK
 K              | 247594000 | GRANDE AMERICA       | Italy
 K              | 376496000 | TMC HAWK             | Saint Vincent and the Grenadines
 K              | 377645000 | SVITZER KUMBIRA      | Saint Vincent and the Grenadines
 K              | 377725000 | SVITZER KISSAMA      | Saint Vincent and the Grenadines
 K              | 412000007 | CHANG YUAN YU 1      | China
 K              | 603711600 | SARMAR 2             | Angola
 K              | 603808800 | NGOLA KILUANGE       | Angola
 K              | 603809200 | NZINGA MBANDI        | Angola
 K              | 613006000 | CNS LE LOGONE        | Cameroon
 K              | 627400600 | GNS YAA ASANTEWAA    | Ghana
 K              | 657011007 | MV BETTY-H           | Nigeria
 K              | 657100900 | I.H PEPPLE           | Nigeria
 K              | 657102000 | HUDSON CAPT ELENDU   | Nigeria
 K              | 657102900 | NNS PROSPERITY       | Nigeria
 K              | 657105500 | CONQUEROR TRE        | Nigeria
 K              | 657109500 | AVS AAWKINSA$D       | Nigeria
 K              | 657109500 | SVS HAWKINS          | Nigeria
 K              | 657111005 | NNS HUNTER           | Nigeria
 K              | 657111011 | NNS LIGHTNING        | Nigeria
 K              | 657111041 | NNS DOLPHIN          | Nigeria
 K              | 657111041 | NNS FORTRESS         | Nigeria
 K              | 657111050 | NNS GENESIS          | Nigeria
 K              | 657111052 | NNS YENEGOA          | Nigeria
 K              | 657111053 | NNS BINI             | Nigeria
 K              | 657111053 | NNS BIOI             | Nigeria
 K              | 657111058 | NNS SWORD            | Nigeria
 K              | 657111060 | NNS WARRIOR          | Nigeria
 K              | 657117300 | DEFENDER 6 AIS1      | Nigeria
 K              | 657117300 | DEFENDER 6 (AIS1)    | Nigeria
 K              | 657120900 | HUDSON MARY SILAS    | Nigeria
 K              | 657121300 | HUDSON LADY ROSELINE | Nigeria
 K              | 657123500 | WHISKY PRIDE         | Nigeria
 K              | 657128800 | DEFENDER 3 AIS2      | Nigeria
 K              | 657351000 | MV   SEA ANGEL 2     | Nigeria
 K              | 657631000 | NNS SEA HORSE        | Nigeria
 K              | 657705000 | NNS TIGER            | Nigeria
 K              | 657706000 | NNS HARMONY          | Nigeria
 K              | 657717000 | NNS  VALIANT         | Nigeria
 K              | 657720000 | NNS SPARROW          | Nigeria
 K              | 657744000 | NNS OKURA            | Nigeria
 K              | 657907000 | MV SWAT LINK VI      | Nigeria
 K              | 657940000 | UTAI 21              | Nigeria
 K              | 668114610 | AGIOS DIMITRIOS      | Sao Tome and Principe
 K              | 671470008 | OTI                  | Togo
(273 rows)

